count,mean,std,min,25%,50%,75%,max,var,cluster
211.0,0.24153332422307658,0.07489428089926742,0.0289703647416413,0.19538308173969482,0.2413603949533735,0.2938514285760902,0.468012022327179,ag1,0
211.0,0.09253780277266341,0.04744843063796188,0.0,0.0610219734828743,0.0890019071837253,0.11395074271261199,0.3978001833180568,ag2,0
211.0,0.27252423121404756,0.06309408824307407,0.116822429906542,0.2354594557984388,0.2769344687152906,0.31088729464061693,0.5216565349544073,ag3,0
211.0,0.246357201529651,0.05979967929300493,0.111,0.21047382939731815,0.2452471482889733,0.28179300872750823,0.4254807692307692,ag4,0
211.0,0.14704744026056127,0.07085157927785216,0.0240311550151975,0.10181336424005186,0.132636469221835,0.17933453113122794,0.4915254237288136,ag5,0
211.0,0.16811301288209113,0.0771910061568441,0.0118870728083209,0.112328431372549,0.1539900249376558,0.21404188992665496,0.4184768385239466,less_high_school,0
211.0,0.3187006780653098,0.09707530312402213,0.1054072553045859,0.2503487161217834,0.305982905982906,0.38155686625590257,0.6867283950617284,high_school,0
211.0,0.3305401408242819,0.08293478465790842,0.1237050578915295,0.2746827725488702,0.328735632183908,0.3904951091455875,0.5627376425855514,college,0
211.0,0.18264616822831706,0.11090497017303491,0.0060938452163315,0.1052457450603574,0.1528288023512123,0.2400366656689614,0.5178654292343388,bachelor_higher,0
211.0,0.6240077452044684,0.11945805002243005,0.2633015006821282,0.5413625866050809,0.6223698781838317,0.7130567723498789,0.8798521256931608,below_45000,0
211.0,0.25290204671396505,0.08999288603099248,0.0651629072681704,0.19187825222916605,0.2468619246861924,0.29864806431997837,0.5896168108776267,45000_to_100000,0
211.0,0.12309020808156644,0.07357386223667914,0.0,0.06729497234032586,0.1161504424778761,0.16801084010840106,0.3596730245231607,above_100000,0
211.0,0.1575618011163807,0.0765241613126215,0.0,0.10150815293004614,0.1469026548672566,0.2053448294733155,0.4365558912386706,married_couple_family,0
211.0,0.3726276964628094,0.12522326283789173,0.0302083333333333,0.29551263338847256,0.3811881188118812,0.46005700042700665,0.6599777034559643,family_other,0
211.0,0.46981050242080985,0.1372639287500452,0.1998508575689783,0.37066113734402,0.4548335974643423,0.5601306172603089,0.8251082251082251,nonfamily,0
211.0,0.8524701946077975,0.07883755518029502,0.5227013677811551,0.8048367649786682,0.8621867881548975,0.9116468192767061,0.993480032599837,same_house,0
