GEOID_Data,below_pov,above_pov,white_below_pov,white_above_pov,black_below_pov,black_above_pov,other_below_pov,other_above_pov,nhisp_white_below_pov,nhisp_white_above_pov,hisp_below_pov,hisp_above_pov,nhisp_below_pov,nhisp_above_pov
14000US17031221000,0.09727626459143969,0.9027237354085603,0.07416127133608005,0.9258387286639199,0.07416127133608005,0.9258387286639199,0.0024154589371980675,0.9975845410628019,0.0846968238691049,0.9153031761308951,0.10132501948558068,0.8986749805144193,0.09324009324009325,0.9067599067599068
14000US17031221100,0.1756063432835821,0.824393656716418,0.09949531362653208,0.9005046863734679,0.09949531362653208,0.9005046863734679,-0.1595238095238095,1.1595238095238096,0.07411219763252702,0.925887802367473,0.31876606683804626,0.6812339331619537,0.09407027818448023,0.9059297218155198
14000US17031242800,0.059961315280464215,0.9400386847195358,0.04685212298682284,0.9531478770131772,0.04685212298682284,0.9531478770131772,0.029635901778154106,0.9703640982218459,0.0387263339070568,0.9612736660929432,0.11830985915492957,0.8816901408450705,0.042642140468227424,0.9573578595317725
14000US17031242900,0.04119850187265917,0.9588014981273408,0.02815768302493966,0.9718423169750603,0.02815768302493966,0.9718423169750603,-0.011345218800648298,1.0113452188006482,0.013100436681222707,0.9868995633187773,0.11778290993071594,0.8822170900692841,0.018105849582172703,0.9818941504178273
14000US17031243000,0.03771013175829169,0.9622898682417084,0.03400868306801737,0.9659913169319826,0.03400868306801737,0.9659913169319826,0.019538188277087035,0.9804618117229129,0.0356330553449583,0.9643669446550417,0.0,1.0,0.04981992797118848,0.9501800720288115
14000US17031243100,0.03415730337078652,0.9658426966292135,0.04460245636716225,0.9553975436328378,0.04460245636716225,0.9553975436328378,0.0713463751438435,0.9286536248561565,0.06057945566286216,0.9394205443371378,0.0,1.0,0.05390070921985816,0.9460992907801419
14000US17031243200,0.06531954887218046,0.9346804511278195,0.07427869858809086,0.9257213014119091,0.07427869858809086,0.9257213014119091,0.09115044247787611,0.9088495575221239,0.0718475073313783,0.9281524926686217,0.055288461538461536,0.9447115384615384,0.06775700934579439,0.9322429906542056
14000US17031243300,0.07759014148790506,0.9224098585120949,0.09883720930232558,0.9011627906976745,0.09883720930232558,0.9011627906976745,0.13610888710968774,0.8638911128903123,0.06901128069011281,0.9309887193098872,0.14537444933920704,0.8546255506607929,0.059873344847438115,0.9401266551525619
14000US17031243400,0.13043478260869565,0.8695652173913043,0.11759301791456132,0.8824069820854387,0.11759301791456132,0.8824069820854387,0.08873974645786727,0.9112602535421327,0.1155688622754491,0.884431137724551,0.1768916155419223,0.8231083844580777,0.10810810810810811,0.8918918918918919
14000US17031071400,0.15399041466972285,0.8460095853302771,0.13872549019607844,0.8612745098039216,0.13872549019607844,0.8612745098039216,0.11692948527224041,0.8830705147277595,0.1311434302908726,0.8688565697091274,0.2613065326633166,0.7386934673366834,0.14934782608695651,0.8506521739130435
14000US17031110400,0.071875,0.928125,0.041028980788016936,0.958971019211983,0.041028980788016936,0.958971019211983,-0.0421179302045728,1.0421179302045729,0.046580406654343806,0.9534195933456562,0.05806451612903226,0.9419354838709677,0.07628865979381444,0.9237113402061856
14000US17031150600,0.0733670653173873,0.9266329346826127,0.05915599095704597,0.9408440090429541,0.05915599095704597,0.9408440090429541,-0.005208333333333333,1.0052083333333333,0.0585918266863614,0.9414081733136386,0.10869565217391304,0.8913043478260869,0.0474481658692185,0.9525518341307815
14000US17031150700,0.06174277726001864,0.9382572227399814,0.06675987416987067,0.9332401258301293,0.06675987416987067,0.9332401258301293,0.08181818181818182,0.9181818181818182,0.051450465243568694,0.9485495347564313,0.08436112481499754,0.9156388751850024,0.04150110375275938,0.9584988962472406
14000US17031150800,0.06677018633540373,0.9332298136645962,0.033298282509638975,0.966701717490361,0.033298282509638975,0.966701717490361,-0.2779783393501805,1.2779783393501805,0.05337078651685393,0.9466292134831461,0.07863651704353695,0.9213634829564631,0.05070808588396528,0.9492919141160348
14000US17031710300,0.11411609498680739,0.8858839050131926,0.23076923076923078,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.10317460317460317,0.8968253968253969,,,0.09090909090909091,0.9090909090909091,0.11695040710584752,0.8830495928941525
14000US17031831100,0.0776332899869961,0.9223667100130039,0.1102897102897103,0.8897102897102898,0.1102897102897103,0.8897102897102898,0.2185344827586207,0.7814655172413794,0.051412250079339895,0.9485877499206601,0.0986969111969112,0.9013030888030888,0.05301748448956571,0.9469825155104343
14000US17031831500,0.11685971685971686,0.8831402831402831,0.09000825763831544,0.9099917423616846,0.09000825763831544,0.9099917423616846,-0.018769551616266946,1.018769551616267,0.12481962481962482,0.8751803751803752,0.14511041009463724,0.8548895899053628,0.0897629853756934,0.9102370146243066
14000US17031831600,0.061942040928443895,0.9380579590715561,0.07289038407625456,0.9271096159237454,0.07289038407625456,0.9271096159237454,-0.46938775510204084,1.469387755102041,0.11584327086882454,0.8841567291311755,0.02428157718868345,0.9757184228113166,0.12249283667621777,0.8775071633237822
14000US17031831200,0.10319258496395468,0.8968074150360453,0.10987172336865589,0.8901282766313441,0.10987172336865589,0.8901282766313441,0.08431836091410559,0.9156816390858944,0.09535452322738386,0.9046454767726161,0.10954773869346733,0.8904522613065327,0.07428571428571429,0.9257142857142857
14000US17031831000,0.035842293906810034,0.96415770609319,0.03956478733926805,0.960435212660732,0.03956478733926805,0.960435212660732,0.04415011037527594,0.9558498896247241,0.04287245444801715,0.9571275455519829,0.0,1.0,0.03958436417615042,0.9604156358238496
