GEOID_Data,single_family,multi_family,units_other,white_single_family,white_multi_family,white_units_other,black_single_family,black_multi_family,black_units_other,other_single_family,other_multi_family,other_units_other,nhisp_white_single_family,nhisp_white_multi_family,nhisp_white_units_other,hisp_single_family,hisp_multi_family,hisp_units_other,nhisp_single_family,nhisp_multi_family,nhisp_units_other
14000US17031221000,0.14675446848541862,0.8532455315145814,0.0,0.16875871687587168,0.8312412831241283,0.0,0.0,1.0,0.0,0.12455516014234876,0.8754448398576512,0.0,0.16129032258064516,0.8387096774193549,0.0,0.15236051502145923,0.8476394849785408,0.0,0.1423785594639866,0.8576214405360134,0.0
14000US17031221100,0.11437095972153158,0.8856290402784684,0.0,0.0903914590747331,0.9096085409252669,0.0,0.0,1.0,0.0,0.2168421052631579,0.783157894736842,0.0,0.0979087452471483,0.9020912547528517,0.0,0.12218649517684887,0.8778135048231511,0.0,0.11087113030957524,0.8891288696904248,0.0
14000US17031242800,0.33181818181818185,0.6681818181818182,0.0,0.3474025974025974,0.6525974025974026,0.0,,,,0.11363636363636363,0.8863636363636364,0.0,0.34306569343065696,0.656934306569343,0.0,0.26804123711340205,0.7319587628865979,0.0,0.3428063943161634,0.6571936056838366,0.0
14000US17031242900,0.20947630922693267,0.7905236907730673,0.0,0.22203098106712565,0.7779690189328744,0.0,0.3898305084745763,0.6101694915254238,0.0,0.09876543209876543,0.9012345679012346,0.0,0.23933209647495363,0.7606679035250464,0.0,0.21374045801526717,0.7862595419847328,0.0,0.20864381520119224,0.7913561847988078,0.0
14000US17031243000,0.27247451343836887,0.7201112140871178,0.0074142724745134385,0.31994818652849744,0.6800518134715026,0.0,0.0,1.0,0.0,0.15824915824915825,0.8148148148148148,0.026936026936026935,0.31613756613756616,0.6838624338624338,0.0,0.12849162011173185,0.8715083798882681,0.0,0.3011111111111111,0.69,0.008888888888888889
14000US17031243100,0.3241525423728814,0.6758474576271186,0.0,0.37444279346210996,0.62555720653789,0.0,0.0,1.0,0.0,0.2,0.8,0.0,0.4268292682926829,0.573170731707317,0.0,0.08191126279863481,0.9180887372013652,0.0,0.43317972350230416,0.5668202764976958,0.0
14000US17031243200,0.2757936507936508,0.7242063492063492,0.0,0.16534391534391535,0.8346560846560847,0.0,0.8947368421052632,0.10526315789473684,0.0,0.2857142857142857,0.7142857142857143,0.0,0.1510015408320493,0.8489984591679507,0.0,0.21951219512195122,0.7804878048780488,0.0,0.28361581920903955,0.7163841807909604,0.0
14000US17031243300,0.07735697018533441,0.9226430298146656,0.0,0.09716599190283401,0.902834008097166,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06923950056753689,0.9307604994324631,0.0,0.1650943396226415,0.8349056603773585,0.0,0.05928085519922255,0.9407191448007775,0.0
14000US17031243400,0.09876543209876543,0.9012345679012346,0.0,0.09048067860508954,0.9095193213949104,0.0,0.5,0.5,0.0,0.05639097744360902,0.943609022556391,0.0,0.09694989106753812,0.9030501089324618,0.0,0.023972602739726026,0.976027397260274,0.0,0.11889400921658987,0.8811059907834101,0.0
14000US17031071400,0.03748698368622006,0.96251301631378,0.0,0.043583535108958835,0.9564164648910412,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04473902236951118,0.9552609776304888,0.0,0.0,1.0,0.0,0.039301310043668124,0.9606986899563319,0.0
14000US17031110400,0.491005291005291,0.508994708994709,0.0,0.4725651577503429,0.5274348422496571,0.0,0.6222222222222222,0.37777777777777777,0.0,0.5452196382428941,0.45478036175710596,0.0,0.45941807044410415,0.5405819295558959,0.0,0.5231143552311436,0.4768856447688564,0.0,0.48208248816768084,0.5179175118323192,0.0
14000US17031150600,0.6577503429355281,0.34224965706447186,0.0,0.6853146853146853,0.3146853146853147,0.0,1.0,0.0,0.0,0.5789473684210527,0.42105263157894735,0.0,0.6714801444043321,0.3285198555956679,0.0,0.7063829787234043,0.2936170212765957,0.0,0.6346153846153846,0.36538461538461536,0.0
14000US17031150700,0.5046728971962616,0.4953271028037383,0.0,0.5731584258324924,0.42684157416750756,0.0,1.0,0.0,0.0,0.31088082901554404,0.689119170984456,0.0,0.6193029490616622,0.3806970509383378,0.0,0.35304659498207885,0.6469534050179212,0.0,0.6062424969987995,0.3937575030012005,0.0
14000US17031150800,0.5255255255255256,0.4744744744744745,0.0,0.5627272727272727,0.43727272727272726,0.0,0.0,1.0,0.0,0.47761194029850745,0.5223880597014925,0.0,0.6235011990407674,0.3764988009592326,0.0,0.44475524475524475,0.5552447552447553,0.0,0.5863157894736842,0.41368421052631577,0.0
14000US17031710300,0.3111954459203036,0.6888045540796964,0.0,,,,0.32882882882882886,0.6711711711711712,0.0,0.21686746987951808,0.7831325301204819,0.0,,,,0.1724137931034483,0.8275862068965517,0.0,0.3192771084337349,0.6807228915662651,0.0
14000US17031831100,0.19805316360913516,0.8019468363908648,0.0,0.209106239460371,0.790893760539629,0.0,0.0,1.0,0.0,0.1933497536945813,0.8066502463054187,0.0,0.20562130177514792,0.7943786982248521,0.0,0.22735507246376813,0.7726449275362319,0.0,0.17740906190172304,0.822590938098277,0.0
14000US17031831500,0.4838235294117647,0.5161764705882353,0.0,0.46875,0.53125,0.0,0.41721854304635764,0.5827814569536424,0.0,0.5507246376811594,0.4492753623188406,0.0,0.4058219178082192,0.5941780821917808,0.0,0.5482815057283142,0.45171849427168576,0.0,0.43124165554072097,0.5687583444592791,0.0
