GEOID_Data,same_house,moved_same_county,moved_same_state,moved_same_country,moved_from_abroad,white_same_house,white_moved_same_county,white_moved_same_state,white_moved_same_country,white_moved_from_abroad,black_same_house,black_moved_same_county,black_moved_same_state,black_moved_same_country,black_moved_from_abroad,other_same_house,other_moved_same_county,other_moved_same_state,other_moved_same_country,other_moved_from_abroad,nhisp_white_same_house,nhisp_white_moved_same_county,nhisp_white_moved_same_state,nhisp_white_moved_same_country,nhisp_white_moved_from_abroad,hisp_same_house,hisp_moved_same_county,hisp_moved_same_state,hisp_moved_same_country,hisp_moved_from_abroad,nhisp_same_house,nhisp_moved_same_county,nhisp_moved_same_state,nhisp_moved_same_country,nhisp_moved_from_abroad
14000US17031171000,0.9581917565371547,0.03870586497266952,0.0,0.0031023784901758012,0.0,0.9544409613375131,0.04117032392894462,0.0,0.00438871473354232,0.0,1.0,0.0,0.0,0.0,0.0,0.956199460916442,0.04380053908355795,0.0,0.0,0.0,0.9921135646687698,0.007886435331230283,0.0,0.0,0.0,0.906930693069307,0.08267326732673268,0.0,0.010396039603960397,0.0,0.9799957885870709,0.02000421141292904,0.0,0.0,0.0
14000US17031171100,0.8946313210069058,0.10536867899309423,0.0,0.0,0.0,0.944683908045977,0.05531609195402299,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7966857871255577,0.20331421287444232,0.0,0.0,0.0,0.9267192784667418,0.07328072153325817,0.0,0.0,0.0,0.8459119496855346,0.1540880503144654,0.0,0.0,0.0,0.9425541316836058,0.057445868316394165,0.0,0.0,0.0
14000US17031180100,0.907158487027196,0.08268208815254767,0.005939356048765239,0.004220068771491091,0.0,0.8739172281039461,0.11236766121270453,0.007218479307025986,0.0064966313763233875,0.0,1.0,0.0,0.0,0.0,0.0,0.9661344944363812,0.02999516207063377,0.0038703434929850023,0.0,0.0,0.8835016835016835,0.09730639730639731,0.010101010101010102,0.00909090909090909,0.0,0.930601454064772,0.06939854593522803,0.0,0.0,0.0,0.8861209964412812,0.09460260972716489,0.011269276393831554,0.00800711743772242,0.0
14000US17031190100,0.8279756733275413,0.17202432667245873,0.0,0.0,0.0,0.9038461538461539,0.09615384615384616,0.0,0.0,0.0,0.24074074074074073,0.7592592592592593,0.0,0.0,0.0,0.8020527859237536,0.19794721407624633,0.0,0.0,0.0,0.7782426778242678,0.2217573221757322,0.0,0.0,0.0,0.8434421980300674,0.1565578019699326,0.0,0.0,0.0,0.7479892761394102,0.2520107238605898,0.0,0.0,0.0
14000US17031222200,0.7821869488536155,0.15520282186948853,0.018077601410934743,0.0445326278659612,0.0,0.8068181818181818,0.14256198347107438,0.0046487603305785125,0.04597107438016529,0.0,0.43902439024390244,0.13414634146341464,0.34146341463414637,0.08536585365853659,0.0,0.704,0.26,0.016,0.02,0.0,0.8221386351423966,0.12896292315959162,0.004836109618484685,0.04406233207952714,0.0,0.5130434782608696,0.4260869565217391,0.0,0.06086956521739131,0.0,0.7965629354389224,0.14073385973060845,0.019043195541105434,0.04366000928936368,0.0
14000US17031222500,0.9051047120418848,0.07722513089005235,0.0058900523560209425,0.011780104712041885,0.0,0.8894783377541998,0.08664898320070734,0.007957559681697613,0.015915119363395226,0.0,0.8679245283018868,0.1320754716981132,0.0,0.0,0.0,0.9622093023255814,0.0377906976744186,0.0,0.0,0.0,0.8231966053748232,0.13861386138613863,0.01272984441301273,0.02545968882602546,0.0,0.9887323943661972,0.011267605633802818,0.0,0.0,0.0,0.8325183374083129,0.13447432762836187,0.011002444987775062,0.022004889975550123,0.0
14000US17031222600,0.8378378378378378,0.128992628992629,0.009213759213759214,0.009828009828009828,0.014127764127764128,0.8103607770582794,0.15541165587419056,0.013876040703052728,0.011100832562442183,0.009250693802035153,0.7029702970297029,0.25742574257425743,0.0,0.039603960396039604,0.0,0.9349775784753364,0.03587443946188341,0.0,0.0,0.02914798206278027,0.7799752781211372,0.18046971569839307,0.012360939431396786,0.014833127317676144,0.012360939431396786,0.9420783645655877,0.049403747870528106,0.008517887563884156,0.0,0.0,0.7790585975024016,0.17387127761767532,0.009606147934678195,0.01536983669548511,0.022094140249759846
14000US17031251500,0.8966012446146482,0.10339875538535184,0.0,0.0,0.0,0.5752212389380531,0.4247787610619469,0.0,0.0,0.0,0.9295774647887324,0.07042253521126761,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9420289855072463,0.057971014492753624,0.0,0.0,0.0,0.6771929824561403,0.32280701754385965,0.0,0.0,0.0,0.9312638580931264,0.06873614190687362,0.0,0.0,0.0
14000US17031251600,0.8067729083665338,0.19322709163346613,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.8053412462908012,0.1946587537091988,0.0,0.0,0.0,0.8134851138353766,0.18651488616462347,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8057948316366484,0.1942051683633516,0.0,0.0,0.0,0.8071582844800987,0.19284171551990126,0.0,0.0,0.0
14000US17031251700,0.7953216374269005,0.1966374269005848,0.00804093567251462,0.0,0.0,0.6047904191616766,0.39520958083832336,0.0,0.0,0.0,0.7928363988383349,0.19651500484027107,0.010648596321393998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7843137254901961,0.21568627450980393,0.0,0.0,0.0,0.7984934086629002,0.1911487758945386,0.010357815442561206,0.0,0.0
14000US17031251800,0.8285019258057977,0.13946888303263735,0.03202919116156497,0.0,0.0,0.7671232876712328,0.19863013698630136,0.03424657534246575,0.0,0.0,0.8368826461259629,0.12845491617580426,0.03466243769823289,0.0,0.0,0.7533512064343163,0.24664879356568364,0.0,0.0,0.0,0.7622377622377622,0.20279720279720279,0.03496503496503497,0.0,0.0,0.6737588652482269,0.3262411347517731,0.0,0.0,0.0,0.8378843259514083,0.12814448505697698,0.033971188991614706,0.0,0.0
14000US17031251900,0.7197464105910871,0.21182174156255826,0.005780346820809248,0.0626515010255454,0.0,0.37962962962962965,0.6203703703703703,0.0,0.0,0.0,0.7266491829735727,0.19931410127093,0.006253782529755901,0.06778293322574137,0.0,0.7281879194630873,0.27181208053691275,0.0,0.0,0.0,0.12987012987012986,0.8701298701298701,0.0,0.0,0.0,0.926829268292683,0.07317073170731707,0.0,0.0,0.0,0.7097908931014266,0.2184873949579832,0.006058237248387727,0.06566347469220246,0.0
