GEOID_Data,white,black,race_other,hisp,nhisp
14000US17031411200,0.6658566221142163,0.04678007290400972,0.287363304981774,0.06743620899149454,0.9325637910085055
14000US17031460400,0.0024868748273003593,0.9795523625310859,0.017960762641613705,0.0,1.0
14000US17031460500,0.07833197056418642,0.9195421095666394,0.002125919869174162,0.0,1.0
14000US17031461000,0.18613707165109034,0.6370716510903427,0.17679127725856697,0.2834890965732087,0.7165109034267912
14000US17031420100,0.04020421186981493,0.8883216336949585,0.07147415443522655,0.03382259093809828,0.9661774090619017
14000US17031420200,0.23730747290359383,0.6200798630918426,0.1426126640045636,0.03365658870507701,0.966343411294923
14000US17031420400,0.28218243819266836,0.5396419437340153,0.17817561807331628,0.09548167092924126,0.9045183290707587
14000US17031420700,0.01041264944080216,0.9672194369456228,0.02236791361357501,0.0,1.0
14000US17031420800,0.05033164260632072,0.8575887631681623,0.09207959422551697,0.0,1.0
14000US17031470100,0.026772247360482653,0.9008295625942685,0.07239819004524888,0.05203619909502263,0.9479638009049773
14000US17031480100,0.002677376171352075,0.9830432842481035,0.0142793395805444,0.0013386880856760374,0.998661311914324
14000US17031480200,0.011267605633802818,0.9295774647887324,0.059154929577464786,0.011267605633802818,0.9887323943661972
14000US17031480300,0.007829181494661922,0.9722419928825623,0.0199288256227758,0.029181494661921707,0.9708185053380783
14000US17031480400,0.005798728020950243,0.98989898989899,0.004302282080059858,0.00411522633744856,0.9958847736625515
14000US17031650400,0.2849261965111078,0.02281198747577158,0.6922618160131206,0.9269420008945878,0.07305799910541226
14000US17031650500,0.5025493238749723,0.10463311904234095,0.3928175570826868,0.7013965861228109,0.2986034138771891
14000US17031660400,0.41569137407889034,0.015821413090593844,0.5684872128305158,0.9497182488079757,0.05028175119202427
14000US17031821402,0.014953271028037384,0.8953271028037383,0.08971962616822429,0.01277258566978193,0.9872274143302181
14000US17031290900,0.008932661475034357,0.9878607420980302,0.00320659642693541,0.0,1.0
14000US17031291200,0.0010346611484738748,0.9896533885152613,0.009311950336264873,0.009311950336264873,0.9906880496637351
14000US17031421200,0.022066198595787363,0.950852557673019,0.02708124373119358,0.013039117352056168,0.9869608826479438
14000US17031271500,0.04722222222222222,0.8791666666666667,0.07361111111111111,0.0375,0.9625
14000US17031292200,0.044573643410852716,0.8577519379844961,0.09767441860465116,0.08682170542635659,0.9131782945736434
14000US17031292400,0.23085106382978723,0.7686170212765957,0.0005319148936170213,0.05372340425531915,0.9462765957446808
14000US17031292500,0.06976744186046512,0.7952947539210384,0.1349378042184965,0.14737696051919957,0.8526230394808004
14000US17031271800,0.0,0.9657039711191335,0.03429602888086643,0.03429602888086643,0.9657039711191335
14000US17031280100,0.738169897377423,0.018671607753705816,0.24315849486887114,0.06456670467502851,0.9354332953249715
14000US17031280400,0.23521414004078858,0.6886471787899389,0.07613868116927261,0.09993201903467029,0.9000679809653297
14000US17031300600,0.2508735150244584,0.12264150943396226,0.6264849755415793,0.8312368972746331,0.16876310272536688
14000US17031300700,0.3989451476793249,0.02721518987341772,0.5738396624472574,0.9685654008438819,0.03143459915611815
14000US17031301100,0.5441860465116279,0.01953488372093023,0.43627906976744185,0.8474418604651163,0.15255813953488373
14000US17031301200,0.35495213908966594,0.15823403008400078,0.4868138308263333,0.7825747216253175,0.21742527837468256
14000US17031480500,0.05527638190954774,0.8600143575017947,0.08470926058865758,0.11521895190236899,0.884781048097631
14000US17031490500,0.038256658595641646,0.9341404358353511,0.027602905569007265,0.012590799031476998,0.987409200968523
14000US17031520200,0.4154319261951356,0.061783617556611686,0.5227844562482528,0.8577019849035504,0.14229801509644954
