GEOID_Data,mgt,svc,sls,con,prod,white_mgt,white_svc,white_sls,white_con,white_prod,black_mgt,black_svc,black_sls,black_con,black_prod,other_mgt,other_svc,other_sls,other_con,other_prod,nhisp_white_mgt,nhisp_white_svc,nhisp_white_sls,nhisp_white_con,nhisp_white_prod,hisp_mgt,hisp_svc,hisp_sls,hisp_con,hisp_prod,nhisp_mgt,nhisp_svc,nhisp_sls,nhisp_con,nhisp_prod
14000US17031282800,0.6050420168067226,0.04441776710684274,0.23649459783913565,0.060024009603841535,0.05402160864345738,0.7622950819672131,0.04644808743169399,0.11475409836065574,0.01366120218579235,0.06284153005464481,0.3231707317073171,0.12195121951219512,0.42073170731707316,0.0,0.13414634146341464,0.5676567656765676,0.0,0.2838283828382838,0.1485148514851485,0.0,0.8548387096774194,0.054838709677419356,0.07419354838709677,0.0,0.016129032258064516,0.2995169082125604,0.0,0.3719806763285024,0.24154589371980675,0.08695652173913043,0.7060702875399361,0.05910543130990415,0.19169329073482427,0.0,0.04313099041533546
14000US17031400300,0.258364312267658,0.30297397769516726,0.2843866171003718,0.15427509293680297,0.0,0.0,0.0,0.0,1.0,0.0,0.2725490196078431,0.307843137254902,0.3,0.11960784313725491,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26127819548872183,0.2951127819548872,0.287593984962406,0.15601503759398497,0.0
14000US17031400500,0.27728285077951004,0.410913140311804,0.23496659242761692,0.005567928730512249,0.07126948775055679,1.0,0.0,0.0,0.0,0.0,0.2732362821948488,0.4132138857782755,0.23628219484882418,0.005599104143337066,0.07166853303471445,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,0.27728285077951004,0.410913140311804,0.23496659242761692,0.005567928730512249,0.07126948775055679
14000US17031400800,0.10242587601078167,0.4716981132075472,0.3086253369272237,0.0,0.11725067385444744,0.5,0.0,0.5,0.0,0.0,0.09517241379310344,0.4786206896551724,0.3062068965517241,0.0,0.12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10340136054421768,0.47619047619047616,0.3020408163265306,0.0,0.11836734693877551
14000US17031410100,0.6540469973890339,0.12140992167101827,0.19451697127937337,0.0,0.030026109660574413,0.7747252747252747,0.14560439560439561,0.07967032967032966,0.0,0.0,0.5291095890410958,0.0821917808219178,0.3099315068493151,0.0,0.07876712328767123,0.5863636363636363,0.14545454545454545,0.2681818181818182,0.0,0.0,0.879746835443038,0.04272151898734177,0.07753164556962025,0.0,0.0,0.11029411764705882,0.5808823529411765,0.3088235294117647,0.0,0.0,0.7070200573065902,0.07664756446991404,0.1833810888252149,0.0,0.0329512893982808
14000US17031410500,0.6689014956162971,0.07942238267148015,0.13924703455389376,0.04538421866941723,0.06704486848891181,0.7156177156177156,0.07925407925407925,0.15151515151515152,0.004662004662004662,0.04895104895104895,0.43797856049004597,0.11944869831546708,0.17917304747320062,0.12863705972434916,0.13476263399693722,0.927570093457944,0.018691588785046728,0.053738317757009345,0.0,0.0,0.7139208173690932,0.07407407407407407,0.1532567049808429,0.005108556832694764,0.05363984674329502,0.8058252427184466,0.0970873786407767,0.0970873786407767,0.0,0.0,0.6612200435729847,0.0784313725490196,0.14161220043572983,0.04793028322440087,0.07080610021786492
14000US17031410600,0.7553191489361702,0.08130699088145897,0.1337386018237082,0.008358662613981762,0.02127659574468085,0.6841359773371105,0.09631728045325778,0.17847025495750707,0.015580736543909348,0.025495750708215296,0.7235772357723578,0.12195121951219512,0.11382113821138211,0.0,0.04065040650406504,0.9148351648351648,0.024725274725274724,0.06043956043956044,0.0,0.0,0.6773162939297125,0.10862619808306709,0.16773162939297126,0.01757188498402556,0.02875399361022364,0.8297872340425532,0.0,0.1702127659574468,0.0,0.0,0.7463829787234042,0.09106382978723404,0.12936170212765957,0.009361702127659575,0.023829787234042554
14000US17031460100,0.2097966728280961,0.33271719038817005,0.1876155268022181,0.08872458410351201,0.18114602587800369,0.2987012987012987,0.0,0.29004329004329005,0.19913419913419914,0.21212121212121213,0.14067278287461774,0.4602446483180428,0.11773700305810397,0.05657492354740061,0.22477064220183487,0.3350253807106599,0.29949238578680204,0.29949238578680204,0.06598984771573604,0.0,0.46551724137931033,0.0,0.5344827586206896,0.0,0.0,0.2671009771986971,0.07166123778501629,0.30944625407166126,0.19218241042345277,0.15960912052117263,0.1870967741935484,0.43612903225806454,0.1393548387096774,0.04774193548387097,0.1896774193548387
14000US17031450300,0.2198917456021651,0.3349120433017591,0.2516914749661705,0.02774018944519621,0.16576454668470908,1.0,0.0,0.0,0.0,0.0,0.2118768328445748,0.3057184750733138,0.2727272727272727,0.030058651026392963,0.17961876832844575,0.10344827586206896,0.896551724137931,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,0.2198917456021651,0.3349120433017591,0.2516914749661705,0.02774018944519621,0.16576454668470908
14000US17031460200,0.17956989247311828,0.4376344086021505,0.17526881720430107,0.053763440860215055,0.15376344086021507,0.10962566844919786,0.35561497326203206,0.28609625668449196,0.11764705882352941,0.13101604278074866,0.18446601941747573,0.3883495145631068,0.21844660194174756,0.0,0.2087378640776699,0.25142857142857145,0.5542857142857143,0.03142857142857143,0.017142857142857144,0.1457142857142857,0.0,0.16,0.28,0.0,0.56,0.18454935622317598,0.46208869814020026,0.15879828326180256,0.0715307582260372,0.12303290414878398,0.1645021645021645,0.36363636363636365,0.22510822510822512,0.0,0.24675324675324675
14000US17031640400,0.30710510863182616,0.2542571931884909,0.15149735760422783,0.13329418672930124,0.15384615384615385,0.3157894736842105,0.21868050407709413,0.16160118606375093,0.15937731653076354,0.14455151964418086,0.0,0.5294117647058824,0.47058823529411764,0.0,0.0,0.303125,0.375,0.075,0.0375,0.209375,0.3947643979057592,0.16858638743455498,0.15602094240837697,0.16230366492146597,0.11832460732984293,0.18888888888888888,0.3527777777777778,0.15138888888888888,0.1,0.20694444444444443,0.3936927772126144,0.18209562563580875,0.1515768056968464,0.15768056968463887,0.11495422177009156
