GEOID_Data,owner,renter,white_owner,white_renter,black_owner,black_renter,other_owner,other_renter,nhisp_white_owner,nhisp_white_renter,hisp_owner,hisp_renter,nhisp_owner,nhisp_renter
14000US17031310600,0.2616863259065094,0.7383136740934906,0.23109600679694137,0.7689039932030586,0.0,1.0,0.34824281150159747,0.6517571884984026,0.17041420118343195,0.829585798816568,0.40158870255957635,0.5984112974404237,0.1245674740484429,0.8754325259515571
14000US17031310700,0.15422077922077923,0.8457792207792207,0.20866141732283464,0.7913385826771654,0.0,1.0,0.12883435582822086,0.8711656441717791,0.1858974358974359,0.8141025641025641,0.13029315960912052,0.8697068403908795,0.1779935275080906,0.8220064724919094
14000US17031310800,0.2959309494451295,0.7040690505548706,0.3640699523052464,0.6359300476947536,0.0,1.0,0.25770020533880905,0.742299794661191,0.11785714285714285,0.8821428571428571,0.36019339242546333,0.6398066075745367,0.08661417322834646,0.9133858267716536
14000US17031020602,0.48504784688995217,0.5149521531100478,0.7298245614035088,0.27017543859649124,0.2583732057416268,0.7416267942583732,0.21875,0.78125,0.7656441717791411,0.2343558282208589,0.0,1.0,0.583873290136789,0.41612670986321093
14000US17031310900,0.36235161107970604,0.637648388920294,0.3829787234042553,0.6170212765957447,0.0,1.0,0.3659454374412041,0.6340545625587959,0.167192429022082,0.832807570977918,0.4254633360193392,0.5745366639806607,0.21401515151515152,0.7859848484848485
14000US17031510100,0.5511498810467883,0.44885011895321175,0.638700947225981,0.36129905277401897,0.16095890410958905,0.839041095890411,0.7652173913043478,0.23478260869565218,0.7876106194690266,0.21238938053097345,0.6325706594885598,0.3674293405114401,0.4343629343629344,0.5656370656370656
14000US17031510200,0.675611681136543,0.324388318863457,1.0,0.0,0.5865070729053319,0.4134929270946681,0.3111111111111111,0.6888888888888889,1.0,0.0,1.0,0.0,0.6432291666666666,0.3567708333333333
14000US17031561100,0.9327231121281464,0.06727688787185354,0.9234726688102894,0.07652733118971061,,,0.9555555555555556,0.044444444444444446,0.9282258064516129,0.0717741935483871,0.9363336992316136,0.06366630076838639,0.9301412872841445,0.06985871271585557
14000US17031190701,0.43779342723004694,0.562206572769953,0.3899782135076253,0.6100217864923747,0.38095238095238093,0.6190476190476191,0.5,0.5,0.3465346534653465,0.6534653465346535,0.4797297297297297,0.5202702702702703,0.3423076923076923,0.6576923076923077
14000US17031020901,0.355,0.645,0.482646420824295,0.517353579175705,0.36792452830188677,0.6320754716981132,0.1588785046728972,0.8411214953271028,0.5703363914373089,0.42966360856269115,0.17943548387096775,0.8205645161290323,0.4061032863849765,0.5938967136150235
