GEOID_Data,married_couple_family,family_other,nonfamily,white_married_couple_family,white_family_other,white_nonfamily,black_married_couple_family,black_family_other,black_nonfamily,other_married_couple_family,other_family_other,other_nonfamily,nhisp_white_married_couple_family,nhisp_white_family_other,nhisp_white_nonfamily,hisp_married_couple_family,hisp_family_other,hisp_nonfamily,nhisp_married_couple_family,nhisp_family_other,nhisp_nonfamily
14000US17031281900,0.2906829144452907,0.0627062706270627,0.6466108149276466,0.317430325932924,0.007557864903164856,0.6750118091639112,0.460431654676259,0.12949640287769784,0.41007194244604317,0.24301841948900774,0.1265597147950089,0.6304218657159834,0.31825037707390647,0.008044243338360985,0.6737053795877326,0.2052980132450331,0.0,0.7947019867549668,0.2977728897442947,0.06791311520483916,0.634313995050866
14000US17031310200,0.34459459459459457,0.16891891891891891,0.4864864864864865,0.3795309168443497,0.08955223880597014,0.5309168443496801,0.0,0.2702702702702703,0.7297297297297297,0.32905982905982906,0.31196581196581197,0.358974358974359,0.3918918918918919,0.0,0.6081081081081081,0.32234432234432236,0.304029304029304,0.37362637362637363,0.3576017130620985,0.08993576017130621,0.5524625267665952
14000US17031310300,0.3172690763052209,0.23293172690763053,0.4497991967871486,0.3170731707317073,0.13937282229965156,0.5435540069686411,0.3142857142857143,0.0,0.6857142857142857,0.3176470588235294,0.31529411764705884,0.36705882352941177,0.27918781725888325,0.04568527918781726,0.6751269035532995,0.36147186147186144,0.3528138528138528,0.2857142857142857,0.24561403508771928,0.03859649122807018,0.7157894736842105
14000US17031310400,0.2508361204013378,0.09197324414715718,0.657190635451505,0.29577464788732394,0.07981220657276995,0.6244131455399061,,,,0.22597402597402597,0.0987012987012987,0.6753246753246753,0.2982456140350877,0.06432748538011696,0.6374269005847953,0.18840579710144928,0.12753623188405797,0.6840579710144927,0.3359683794466403,0.043478260869565216,0.6205533596837944
14000US17031310500,0.2857142857142857,0.22893772893772893,0.48534798534798534,0.1912568306010929,0.39344262295081966,0.41530054644808745,,,,0.3333333333333333,0.14600550964187328,0.5206611570247934,0.036585365853658534,0.2682926829268293,0.6951219512195121,0.3362637362637363,0.22637362637362637,0.43736263736263736,0.03296703296703297,0.24175824175824176,0.7252747252747253
14000US17031491200,0.21517027863777088,0.4520123839009288,0.3328173374613003,0.0,0.38596491228070173,0.6140350877192983,0.24131944444444445,0.4600694444444444,0.2986111111111111,0.0,0.38461538461538464,0.6153846153846154,0.0,0.18604651162790697,0.813953488372093,0.0,0.6363636363636364,0.36363636363636365,0.22275641025641027,0.44551282051282054,0.3317307692307692
14000US17031491300,0.2588597842835131,0.5254237288135594,0.21571648690292758,,,,0.2588597842835131,0.5254237288135594,0.21571648690292758,,,,,,,,,,0.2588597842835131,0.5254237288135594,0.21571648690292758
14000US17031491400,0.1388646288209607,0.3240174672489083,0.537117903930131,0.0,0.0,1.0,0.14735866543095458,0.3438368860055607,0.5088044485634847,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1407079646017699,0.32831858407079645,0.5309734513274337
14000US17031500100,0.17160883280757097,0.3135646687697161,0.5148264984227129,0.0,0.3225806451612903,0.6774193548387096,0.17503217503217502,0.3133848133848134,0.5115830115830116,,,,0.0,0.0,1.0,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.1708413615928067,0.3127809890815671,0.5163776493256262
14000US17031500200,0.11889862327909888,0.47309136420525655,0.40801001251564456,0.0,0.0,1.0,0.1038107752956636,0.4756898817345598,0.4204993429697766,0.5,0.5,0.0,0.0,0.0,1.0,,,,0.11889862327909888,0.47309136420525655,0.40801001251564456
14000US17031500300,0.2585635359116022,0.23093922651933702,0.5104972375690607,0.3170212765957447,0.2872340425531915,0.39574468085106385,0.09375,0.17329545454545456,0.7329545454545454,0.6265060240963856,0.1566265060240964,0.21686746987951808,0.30423940149625933,0.2593516209476309,0.43640897755610975,0.5379310344827586,0.21379310344827587,0.2482758620689655,0.20526315789473684,0.23421052631578948,0.5605263157894737
14000US17031560200,0.3291814946619217,0.28113879003558717,0.3896797153024911,0.2631578947368421,0.0,0.7368421052631579,0.22950819672131148,0.3743169398907104,0.39617486338797814,0.675,0.175,0.15,0.0,0.0,1.0,0.6490066225165563,0.09933774834437085,0.25165562913907286,0.2116788321167883,0.34793187347931875,0.44038929440389296
14000US17031560300,0.48759541984732824,0.15267175572519084,0.3597328244274809,0.48703170028818443,0.15417867435158503,0.35878962536023057,0.13953488372093023,0.0,0.8604651162790697,0.5369774919614148,0.17041800643086816,0.29260450160771706,0.4298440979955457,0.08685968819599109,0.48329621380846327,0.5935727788279773,0.22873345935727787,0.1776937618147448,0.37957610789980734,0.07514450867052024,0.5452793834296724
14000US17031560700,0.5609756097560976,0.1173780487804878,0.32164634146341464,0.562708102108768,0.097669256381798,0.33962264150943394,,,,0.5571776155717761,0.16058394160583941,0.2822384428223844,0.5116640746500778,0.04665629860031104,0.4416796267496112,0.6095679012345679,0.19135802469135801,0.19907407407407407,0.5135542168674698,0.045180722891566265,0.44126506024096385
14000US17031560800,0.6133532635774788,0.1619332336821126,0.22471350274040858,0.5446650124069479,0.1774193548387097,0.27791563275434245,,,,0.8936708860759494,0.09873417721518987,0.007594936708860759,0.5367581930912312,0.16651904340124005,0.2967227635075288,0.7118451025056948,0.1560364464692483,0.13211845102505695,0.5367581930912312,0.16651904340124005,0.2967227635075288
14000US17031560900,0.6333333333333333,0.12795698924731183,0.23870967741935484,0.6331068560840025,0.12476837554045707,0.24212476837554045,,,,0.6348547717842323,0.14937759336099585,0.2157676348547718,0.6161998485995458,0.12263436790310371,0.2611657834973505,0.7125256673511293,0.15605749486652978,0.13141683778234087,0.6052439912600146,0.11798980335032774,0.2767662053896577
14000US17031561000,0.4984682713347921,0.1435448577680525,0.35798687089715536,0.4687194525904203,0.14173998044965788,0.3895405669599218,,,,0.7531380753138075,0.1589958158995816,0.08786610878661087,0.48552064078866297,0.09858287122612445,0.41589648798521256,0.5302114803625377,0.2537764350453172,0.21601208459214502,0.48552064078866297,0.09858287122612445,0.41589648798521256
14000US17031010300,0.2838063439065108,0.11652754590984975,0.5996661101836394,0.2714285714285714,0.06628571428571428,0.6622857142857143,0.2299168975069252,0.17174515235457063,0.5983379501385041,0.39961759082217974,0.2084130019120459,0.3919694072657744,0.2867132867132867,0.055944055944055944,0.6573426573426573,0.4573804573804574,0.1600831600831601,0.38253638253638256,0.25059665871121717,0.10819411296738266,0.6412092283214001
14000US17031010400,0.13716814159292035,0.0599803343166175,0.8028515240904621,0.15726290516206481,0.030012004801920768,0.8127250900360145,0.0,0.301255230125523,0.698744769874477,0.13178294573643412,0.0,0.8682170542635659,0.14257425742574256,0.033003300330033,0.8244224422442245,0.2358974358974359,0.0,0.764102564102564,0.12669929309407288,0.06634040239260468,0.8069603045133225
14000US17031010600,0.308193349331505,0.12684264655467947,0.5649640041138155,0.4033018867924528,0.04540094339622641,0.5512971698113207,0.11654676258992806,0.2719424460431655,0.6115107913669064,0.25475285171102663,0.19771863117870722,0.5475285171102662,0.4021131137352393,0.04785581106277191,0.5500310752019888,0.11935483870967742,0.27741935483870966,0.603225806451613,0.3306482546988876,0.10893747602608363,0.5604142692750288
14000US17031020100,0.31157635467980294,0.2770935960591133,0.41133004926108374,0.26697530864197533,0.22685185185185186,0.5061728395061729,0.2058287795992714,0.48816029143898,0.30601092896174864,0.5152224824355972,0.08196721311475409,0.4028103044496487,0.18689788053949905,0.23314065510597304,0.5799614643545279,0.5558252427184466,0.20631067961165048,0.23786407766990292,0.22854785478547854,0.30115511551155116,0.47029702970297027
