GEOID_Data,car,pub_trans,means_other,white_car,white_pub_trans,white_means_other,black_car,black_pub_trans,black_means_other,other_car,other_pub_trans,other_means_other,nhisp_white_car,nhisp_white_pub_trans,nhisp_white_means_other,hisp_car,hisp_pub_trans,hisp_means_other,nhisp_car,nhisp_pub_trans,nhisp_means_other
14000US17031680900,0.5806878306878307,0.2962962962962963,0.12301587301587301,0.4444444444444444,0.1388888888888889,0.4166666666666667,0.5689404934687954,0.3178519593613933,0.11320754716981132,1.0,0.0,0.0,0.4444444444444444,0.1388888888888889,0.4166666666666667,,,,0.5806878306878307,0.2962962962962963,0.12301587301587301
14000US17031720100,0.6345029239766082,0.1827485380116959,0.1827485380116959,0.6997354497354498,0.12698412698412698,0.17328042328042328,0.6172248803827751,0.3062200956937799,0.07655502392344497,0.4175257731958763,0.13402061855670103,0.4484536082474227,0.6847977684797768,0.13389121338912133,0.18131101813110181,0.5934959349593496,0.0,0.4065040650406504,0.6385542168674698,0.20080321285140562,0.1606425702811245
14000US17031720200,0.5966913861950941,0.2401597261836851,0.16314888762122076,0.4332344213649852,0.23293768545994065,0.33382789317507416,0.700497512437811,0.2427860696517413,0.056716417910447764,0.6756756756756757,0.2702702702702703,0.05405405405405406,0.4485407066052227,0.22119815668202766,0.3302611367127496,0.25316455696202533,0.620253164556962,0.12658227848101267,0.6129032258064516,0.2222222222222222,0.16487455197132617
14000US17031720300,0.6546726636681659,0.17841079460269865,0.16691654172913542,0.7581602373887241,0.09495548961424333,0.14688427299703263,0.38608695652173913,0.3773913043478261,0.23652173913043478,0.8461538461538461,0.15384615384615385,0.0,0.7297979797979798,0.10774410774410774,0.16245791245791247,0.9758454106280193,0.0,0.024154589371980676,0.6176142697881828,0.19899665551839466,0.18338907469342253
14000US17031720400,0.8177240684793555,0.07754279959718026,0.10473313192346426,0.7967667436489607,0.08545034642032333,0.11778290993071594,0.9375,0.0625,0.0,0.9746835443037974,0.0,0.02531645569620253,0.7962747380675204,0.08614668218859138,0.11757857974388825,0.9866666666666667,0.0,0.013333333333333334,0.803921568627451,0.08387799564270153,0.11220043572984749
14000US17031720500,0.810126582278481,0.1383363471971067,0.051537070524412296,0.7974927675988428,0.14754098360655737,0.054966248794599805,1.0,0.0,0.0,1.0,0.0,0.0,0.7984832069339112,0.13976164680390032,0.06175514626218852,0.8481012658227848,0.1518987341772152,0.0,0.8037974683544303,0.1360759493670886,0.060126582278481014
14000US17031720600,0.6489226869455006,0.24081115335868186,0.11026615969581749,0.747163695299838,0.23176661264181522,0.02106969205834684,0.3722627737226277,0.08759124087591241,0.5401459854014599,0.0,1.0,0.0,0.7813559322033898,0.19661016949152543,0.022033898305084745,0.0,1.0,0.0,0.6719160104986877,0.21391076115485563,0.1141732283464567
14000US17031720700,0.6827503015681544,0.18455971049457176,0.13268998793727382,0.751131221719457,0.16063348416289594,0.08823529411764706,0.6841517857142857,0.11383928571428571,0.20200892857142858,0.584375,0.415625,0.0,0.751131221719457,0.16063348416289594,0.08823529411764706,1.0,0.0,0.0,0.6771025168815225,0.1878453038674033,0.13505217925107427
14000US17031040600,0.3898898898898899,0.4124124124124124,0.1976976976976977,0.3197278911564626,0.44712430426716143,0.23314780457637602,0.9329608938547486,0.0,0.0670391061452514,0.47029702970297027,0.5,0.0297029702970297,0.3232189973614776,0.42810026385224276,0.2486807387862797,0.39147286821705424,0.6085271317829457,0.0,0.3896551724137931,0.38333333333333336,0.22701149425287356
14000US17031040700,0.35217207929143823,0.35596794601433995,0.29185997469422187,0.3471933471933472,0.34407484407484407,0.3087318087318087,0.45098039215686275,0.39215686274509803,0.1568627450980392,0.3507246376811594,0.4115942028985507,0.23768115942028986,0.3434617471513836,0.33423765599565924,0.32230059685295714,0.49056603773584906,0.3710691823899371,0.13836477987421383,0.3422242314647378,0.35488245931283907,0.30289330922242313
14000US17031040800,0.3970331588132635,0.30279232111692844,0.30017452006980805,0.3710174717368962,0.3062692702980473,0.3227132579650565,0.0,1.0,0.0,0.5696969696969697,0.24848484848484848,0.18181818181818182,0.3198090692124105,0.32816229116945106,0.3520286396181384,0.6073619631901841,0.27607361963190186,0.1165644171779141,0.3621566632756867,0.3072227873855544,0.3306205493387589
14000US17031380100,0.6040100250626567,0.11278195488721804,0.2832080200501253,0.9807692307692307,0.0,0.019230769230769232,0.5777479892761395,0.12064343163538874,0.30160857908847183,,,,0.9772727272727273,0.0,0.022727272727272728,1.0,0.0,0.0,0.5938303341902313,0.11568123393316196,0.29048843187660667
14000US17031380200,0.4777397260273973,0.2773972602739726,0.24486301369863014,0.5172413793103449,0.0,0.4827586206896552,0.5010526315789474,0.2631578947368421,0.23578947368421052,0.325,0.4625,0.2125,0.5172413793103449,0.0,0.4827586206896552,1.0,0.0,0.0,0.4686411149825784,0.28222996515679444,0.24912891986062718
14000US17031431200,0.5718213058419244,0.34982817869415805,0.07835051546391752,0.0,0.0,1.0,0.5780590717299579,0.34247538677918427,0.07946554149085795,0.3125,0.6875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5761772853185596,0.3448753462603878,0.07894736842105263
14000US17031431400,0.48218911917098445,0.4057642487046632,0.11204663212435233,0.41830065359477125,0.2222222222222222,0.35947712418300654,0.4686840253342716,0.42892329345531316,0.1023926812104152,1.0,0.0,0.0,0.41830065359477125,0.2222222222222222,0.35947712418300654,1.0,0.0,0.0,0.47847358121330724,0.408675799086758,0.11285061969993476
14000US17031050100,0.39543524416135883,0.309447983014862,0.2951167728237792,0.3836285888821014,0.30482590103848506,0.31154551007941356,0.4838709677419355,0.5161290322580645,0.0,0.4702702702702703,0.2810810810810811,0.24864864864864866,0.3821892393320965,0.3085961657390229,0.30921459492888065,0.6436781609195402,0.05747126436781609,0.2988505747126437,0.3834168057874235,0.32164718976071227,0.29493600445186424
14000US17031610800,0.8086838534599728,0.12618724559023067,0.06512890094979647,0.8248686514886164,0.14010507880910683,0.03502626970227671,,,,0.7530120481927711,0.0783132530120482,0.1686746987951807,0.8087954110898662,0.15296367112810708,0.03824091778202677,0.7823529411764706,0.07647058823529412,0.1411764705882353,0.8165784832451499,0.14109347442680775,0.042328042328042326
