GEOID_Data,one_or_less,more_than_one,white_one_or_less,white_more_than_one,black_one_or_less,black_more_than_one,other_one_or_less,other_more_than_one,nhisp_white_one_or_less,nhisp_white_more_than_one,hisp_one_or_less,hisp_more_than_one,nhisp_one_or_less,nhisp_more_than_one
14000US17031221000,0.9962370649106302,0.0037629350893697085,0.9944211994421199,0.005578800557880056,1.0,0.0,1.0,0.0,1.0,0.0,0.9914163090128756,0.008583690987124463,1.0,0.0
14000US17031221100,0.9870711089010442,0.012928891098955743,0.9814946619217082,0.018505338078291814,1.0,0.0,1.0,0.0,1.0,0.0,0.9581993569131833,0.04180064308681672,1.0,0.0
14000US17031242800,0.9787878787878788,0.021212121212121213,0.9772727272727273,0.022727272727272728,,,1.0,0.0,0.9744525547445255,0.025547445255474453,1.0,0.0,0.9751332149200711,0.02486678507992895
14000US17031242900,0.9538653366583542,0.046134663341645885,0.9879518072289156,0.012048192771084338,1.0,0.0,0.8148148148148148,0.18518518518518517,0.987012987012987,0.012987012987012988,0.9007633587786259,0.09923664122137404,0.9642324888226528,0.03576751117734724
14000US17031243000,0.9925857275254866,0.0074142724745134385,1.0,0.0,1.0,0.0,0.9730639730639731,0.026936026936026935,1.0,0.0,1.0,0.0,0.9911111111111112,0.008888888888888889
14000US17031243100,0.9915254237288136,0.00847457627118644,0.9881129271916791,0.01188707280832095,1.0,0.0,1.0,0.0,0.9860627177700348,0.013937282229965157,1.0,0.0,0.9877112135176651,0.01228878648233487
14000US17031243200,0.9890873015873016,0.010912698412698412,0.9933862433862434,0.006613756613756613,0.9548872180451128,0.045112781954887216,1.0,0.0,0.9922958397534669,0.007704160246533128,1.0,0.0,0.9875706214689266,0.012429378531073447
14000US17031243300,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031243400,0.9876543209876543,0.012345679012345678,0.9839773798303487,0.016022620169651274,1.0,0.0,1.0,0.0,0.9814814814814815,0.018518518518518517,1.0,0.0,0.9843317972350231,0.01566820276497696
14000US17031071400,0.9972231863936133,0.0027768136063866713,0.9967715899919289,0.003228410008071025,1.0,0.0,1.0,0.0,0.9966859983429992,0.0033140016570008283,1.0,0.0,0.9970887918486172,0.002911208151382824
14000US17031110400,0.9804232804232804,0.019576719576719578,0.9945130315500685,0.0054869684499314125,1.0,0.0,0.9250645994832042,0.07493540051679587,0.9938744257274119,0.006125574272588055,0.975669099756691,0.024330900243309004,0.9817444219066938,0.018255578093306288
14000US17031150600,0.977366255144033,0.02263374485596708,0.9760239760239761,0.023976023976023976,1.0,0.0,0.9794050343249427,0.020594965675057208,0.9711191335740073,0.02888086642599278,0.9808510638297873,0.019148936170212766,0.9757085020242915,0.024291497975708502
14000US17031150700,0.9086987778576564,0.09130122214234364,0.887991927346115,0.11200807265388496,1.0,0.0,0.9585492227979274,0.04145077720207254,0.9115281501340483,0.08847184986595175,0.8906810035842294,0.10931899641577061,0.9207683073229291,0.07923169267707082
14000US17031150800,0.9795795795795795,0.02042042042042042,1.0,0.0,1.0,0.0,0.9365671641791045,0.06343283582089553,1.0,0.0,0.9524475524475524,0.04755244755244755,1.0,0.0
14000US17031710300,0.9715370018975332,0.028462998102466792,,,1.0,0.0,0.8192771084337349,0.18072289156626506,,,0.4827586206896552,0.5172413793103449,1.0,0.0
14000US17031831100,0.9554473979782853,0.04455260202171472,0.9713322091062394,0.02866779089376054,1.0,0.0,0.916256157635468,0.08374384236453201,1.0,0.0,0.8922101449275363,0.10778985507246377,1.0,0.0
14000US17031831500,0.9742647058823529,0.025735294117647058,0.9594907407407407,0.04050925925925926,1.0,0.0,1.0,0.0,0.940068493150685,0.059931506849315065,1.0,0.0,0.9532710280373832,0.04672897196261682
