GEOID_Data,below_45000,45000_to_100000,above_100000,white_below_45000,white_45000_to_100000,white_above_100000,black_below_45000,black_45000_to_100000,black_above_100000,other_below_45000,other_45000_to_100000,other_above_100000,nhisp_white_below_45000,nhisp_white_45000_to_100000,nhisp_white_above_100000,hisp_below_45000,hisp_45000_to_100000,hisp_above_100000,nhisp_below_45000,nhisp_45000_to_100000,nhisp_above_100000
14000US17031221000,0.28410159924741296,0.35183443085606775,0.3640639698965193,0.3124128312412831,0.3472803347280335,0.3403068340306834,0.26153846153846155,0.27692307692307694,0.46153846153846156,0.21708185053380782,0.3807829181494662,0.40213523131672596,0.24596774193548387,0.31048387096774194,0.4435483870967742,0.3497854077253219,0.3905579399141631,0.259656652360515,0.23283082077051925,0.32160804020100503,0.4455611390284757
14000US17031221100,0.30134261561412234,0.32421680755842863,0.374440576827449,0.22846975088967972,0.35231316725978645,0.4192170818505338,0.7175572519083969,0.0916030534351145,0.19083969465648856,0.40210526315789474,0.30526315789473685,0.2926315789473684,0.0817490494296578,0.42490494296577946,0.49334600760456276,0.6752411575562701,0.14790996784565916,0.17684887459807075,0.13390928725701945,0.4031677465802736,0.462922966162707
14000US17031242800,0.12727272727272726,0.3181818181818182,0.5545454545454546,0.12824675324675325,0.32142857142857145,0.5503246753246753,,,,0.11363636363636363,0.2727272727272727,0.6136363636363636,0.13503649635036497,0.3010948905109489,0.5638686131386861,0.10309278350515463,0.41237113402061853,0.4845360824742268,0.13143872113676733,0.3019538188277087,0.566607460035524
14000US17031242900,0.13840399002493767,0.29301745635910226,0.5685785536159601,0.12564543889845095,0.22203098106712565,0.6523235800344234,0.0,0.9152542372881356,0.0847457627118644,0.2345679012345679,0.32098765432098764,0.4444444444444444,0.0686456400742115,0.23933209647495363,0.6920222634508348,0.4351145038167939,0.3435114503816794,0.22137404580152673,0.08047690014903129,0.28315946348733234,0.6363636363636364
14000US17031243000,0.09823911028730306,0.38368860055607046,0.5180722891566265,0.11787564766839378,0.44430051813471505,0.4378238341968912,0.0,0.0,1.0,0.050505050505050504,0.23905723905723905,0.7104377104377104,0.12037037037037036,0.43253968253968256,0.4470899470899471,0.08379888268156424,0.2681564245810056,0.6480446927374302,0.10111111111111111,0.4066666666666667,0.4922222222222222
14000US17031243100,0.12182203389830508,0.3559322033898305,0.5222457627118644,0.1485884101040119,0.2674591381872214,0.5839524517087668,0.0,1.0,0.0,0.05555555555555555,0.5740740740740741,0.37037037037037035,0.13588850174216027,0.24912891986062718,0.6149825783972126,0.07508532423208192,0.590443686006826,0.33447098976109213,0.14285714285714285,0.250384024577573,0.6067588325652842
14000US17031243200,0.057539682539682536,0.37103174603174605,0.5714285714285714,0.062169312169312166,0.27116402116402116,0.6666666666666666,0.045112781954887216,0.8947368421052632,0.06015037593984962,0.04201680672268908,0.42016806722689076,0.5378151260504201,0.04930662557781202,0.24807395993836673,0.7026194144838213,0.12195121951219512,0.4878048780487805,0.3902439024390244,0.04858757062146893,0.35480225988700564,0.5966101694915255
14000US17031243300,0.18775181305398872,0.28122481869460114,0.5310233682514102,0.14777327935222673,0.2894736842105263,0.562753036437247,0.22916666666666666,0.0,0.7708333333333334,0.37073170731707317,0.3073170731707317,0.32195121951219513,0.12031782065834279,0.2735527809307605,0.6061293984108967,0.5188679245283019,0.330188679245283,0.1509433962264151,0.119533527696793,0.27113702623906705,0.60932944606414
14000US17031243400,0.24691358024691357,0.24255628177196806,0.5105301379811183,0.18096135721017909,0.26107445805843543,0.5579641847313855,0.5,0.5,0.0,0.462406015037594,0.12030075187969924,0.41729323308270677,0.15577342047930284,0.2821350762527233,0.5620915032679739,0.5753424657534246,0.1232876712328767,0.3013698630136986,0.1585253456221198,0.2746543778801843,0.5668202764976958
14000US17031071400,0.1863936133287053,0.28913571676501215,0.5244706699062825,0.18321226795803067,0.2853107344632768,0.5314769975786925,0.33766233766233766,0.6623376623376623,0.0,0.17484662576687116,0.23006134969325154,0.5950920245398773,0.1739850869925435,0.287903893951947,0.5381110190555095,0.39849624060150374,0.22556390977443608,0.37593984962406013,0.17612809315866085,0.29221251819505095,0.5316593886462883
14000US17031110400,0.2962962962962963,0.36613756613756615,0.33756613756613757,0.2661179698216735,0.3676268861454047,0.3662551440329218,0.2,0.8,0.0,0.42118863049095606,0.31007751937984496,0.268733850129199,0.2450229709035222,0.37442572741194485,0.38055130168453294,0.35523114355231145,0.36982968369829683,0.2749391727493917,0.2799188640973631,0.36511156186612576,0.35496957403651114
14000US17031150600,0.26406035665294925,0.360082304526749,0.37585733882030176,0.2707292707292707,0.3926073926073926,0.33666333666333664,1.0,0.0,0.0,0.2151029748283753,0.30205949656750575,0.482837528604119,0.2851985559566787,0.40673886883273164,0.30806257521058966,0.2,0.30425531914893617,0.4957446808510638,0.29453441295546556,0.3866396761133603,0.3188259109311741
14000US17031150700,0.3235082674335011,0.24874191229331416,0.42774982027318476,0.26538849646821394,0.28557013118062563,0.44904137235116043,0.0,1.0,0.0,0.4844559585492228,0.12694300518134716,0.38860103626943004,0.2828418230563003,0.2613941018766756,0.45576407506702415,0.4283154121863799,0.24551971326164876,0.32616487455197135,0.2533013205282113,0.25090036014405764,0.4957983193277311
14000US17031150800,0.2912912912912913,0.33693693693693694,0.3717717717717718,0.27454545454545454,0.2809090909090909,0.4445454545454545,0.0,1.0,0.0,0.3414179104477612,0.416044776119403,0.24253731343283583,0.2541966426858513,0.290167865707434,0.4556354916067146,0.38181818181818183,0.33706293706293705,0.2811188811188811,0.2231578947368421,0.3368421052631579,0.44
