GEOID_Data,less_high_school,high_school,college,bachelor_higher,white_less_high_school,white_high_school,white_college,white_bachelor_higher,black_less_high_school,black_high_school,black_college,black_bachelor_higher,other_less_high_school,other_high_school,other_college,other_bachelor_higher,nhisp_white_less_high_school,nhisp_white_high_school,nhisp_white_college,nhisp_white_bachelor_higher,hisp_less_high_school,hisp_high_school,hisp_college,hisp_bachelor_higher,nhisp_less_high_school,nhisp_high_school,nhisp_college,nhisp_bachelor_higher
14000US17031671900,0.19534883720930232,0.30348837209302326,0.31511627906976747,0.18604651162790697,0.0,0.5357142857142857,0.0,0.4642857142857143,0.1812191103789127,0.2833607907742998,0.36079077429983525,0.17462932454695224,0.3431952662721893,0.2603550295857988,0.3076923076923077,0.08875739644970414,0.0,0.42424242424242425,0.0,0.5757575757575758,0.29441624365482233,0.38071065989847713,0.19289340101522842,0.1319796954314721,0.16591251885369532,0.28054298642533937,0.3514328808446455,0.20211161387631976
14000US17031710100,0.08486562942008487,0.4214992927864215,0.3734087694483734,0.12022630834512023,,,,,0.08559201141226819,0.42510699001426533,0.3680456490727532,0.12125534950071326,0.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,0.0,0.08670520231213873,0.430635838150289,0.3598265895953757,0.12283236994219653
14000US17031710200,0.19563662374821172,0.3311874105865522,0.40665236051502146,0.06652360515021459,0.0,0.3884297520661157,0.6115702479338843,0.0,0.2052532833020638,0.326078799249531,0.39887429643527206,0.0697936210131332,0.0,1.0,0.0,0.0,0.0,0.3884297520661157,0.6115702479338843,0.0,,,,,0.19563662374821172,0.3311874105865522,0.40665236051502146,0.06652360515021459
14000US17031710400,0.12100213219616204,0.30890191897654584,0.36593816631130066,0.20415778251599148,0.0,0.0,0.0,1.0,0.12343271106157704,0.29896907216494845,0.37447757035385904,0.2031206464196155,0.08029197080291971,0.6277372262773723,0.2116788321167883,0.08029197080291971,0.0,0.0,0.0,1.0,0.0873015873015873,0.6825396825396826,0.23015873015873015,0.0,0.12217319360176503,0.29591836734693877,0.37065637065637064,0.21125206839492552
14000US17031710500,0.13142857142857142,0.27877551020408164,0.3946938775510204,0.19510204081632654,0.5384615384615384,0.4423076923076923,0.019230769230769232,0.0,0.10656098634962571,0.28445618670189343,0.3985028621752532,0.21047996477322764,0.4094488188976378,0.11023622047244094,0.48031496062992124,0.0,0.4117647058823529,0.5294117647058824,0.058823529411764705,0.0,0.6219512195121951,0.17073170731707318,0.2073170731707317,0.0,0.11444256756756757,0.2825168918918919,0.40118243243243246,0.20185810810810811
14000US17031710600,0.1728024042073629,0.3779113448534936,0.30277986476333585,0.14650638617580766,0.3018867924528302,0.11320754716981132,0.3018867924528302,0.2830188679245283,0.16292134831460675,0.398876404494382,0.29373996789727125,0.14446227929373998,0.34375,0.0,0.65625,0.0,0.3018867924528302,0.11320754716981132,0.3018867924528302,0.2830188679245283,,,,,0.1728024042073629,0.3779113448534936,0.30277986476333585,0.14650638617580766
14000US17031710800,0.19437577255871447,0.35754017305315205,0.315203955500618,0.13288009888751545,0.0,0.0,0.0,1.0,0.19748822605965463,0.363265306122449,0.3183673469387755,0.12087912087912088,0.0,0.0,0.13333333333333333,0.8666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19461633663366337,0.35798267326732675,0.31435643564356436,0.13304455445544555
14000US17031340300,0.3190993788819876,0.2220496894409938,0.18245341614906832,0.27639751552795033,0.02711864406779661,0.10847457627118644,0.288135593220339,0.576271186440678,,,,,0.40584088620342396,0.25579053373615307,0.1510574018126888,0.18731117824773413,0.04060913705583756,0.16243654822335024,0.09137055837563451,0.7055837563451777,0.0,0.13013698630136986,0.5958904109589042,0.273972602739726,0.35989492119089317,0.23380035026269702,0.1295971978984238,0.276707530647986
14000US17031340500,0.2617100371747212,0.27434944237918213,0.12713754646840147,0.33680297397769515,0.026912181303116147,0.3002832861189802,0.21246458923512748,0.4603399433427762,0.6285714285714286,0.0,0.0,0.37142857142857144,0.507908611599297,0.2759226713532513,0.03690685413005272,0.17926186291739896,0.030944625407166124,0.3338762214983713,0.1775244299674267,0.4576547231270358,0.25903614457831325,0.16265060240963855,0.3132530120481928,0.26506024096385544,0.26208651399491095,0.2900763358778626,0.10093299406276506,0.3469041560644614
14000US17031340600,0.29914529914529914,0.305982905982906,0.3333333333333333,0.06153846153846154,0.0,0.0,0.0,1.0,0.36382536382536385,0.37214137214137216,0.23700623700623702,0.02702702702702703,0.0,0.0,0.8804347826086957,0.11956521739130435,0.0,0.0,0.0,1.0,,,,,0.29914529914529914,0.305982905982906,0.3333333333333333,0.06153846153846154
14000US17031430200,0.12474344355758267,0.20136830102622577,0.39657924743443557,0.277309007981756,0.145679012345679,0.43209876543209874,0.007407407407407408,0.4148148148148148,0.12649040953862103,0.1612234318299637,0.4499740798341109,0.2623120787973043,0.0,0.7049180327868853,0.0,0.29508196721311475,0.0,0.028409090909090908,0.017045454545454544,0.9545454545454546,0.2388663967611336,0.6882591093117408,0.0,0.0728744939271255,0.1179313678105365,0.17230546157564042,0.42025132914451424,0.28951184146930886
14000US17031430300,0.05441055234954658,0.2671063478977741,0.4171475680131904,0.26133553173948887,0.4444444444444444,0.2777777777777778,0.0,0.2777777777777778,0.04248088360237893,0.26677994902293967,0.42990654205607476,0.2608326253186066,,,,,0.0,0.5,0.0,0.5,0.5925925925925926,0.0,0.4074074074074074,0.0,0.04215851602023609,0.27318718381112983,0.4173693086003373,0.26728499156829677
14000US17031510300,0.20890290921836663,0.27129337539432175,0.3673326323168594,0.15247108307045215,0.0,0.0,1.0,0.0,0.21408045977011494,0.27801724137931033,0.3516522988505747,0.15625,,,,,0.0,0.0,1.0,0.0,,,,,0.20890290921836663,0.27129337539432175,0.3673326323168594,0.15247108307045215
14000US17031520100,0.4146153846153846,0.3723076923076923,0.11692307692307692,0.09615384615384616,0.3979591836734694,0.40688775510204084,0.08035714285714286,0.11479591836734694,,,,,0.43992248062015504,0.31976744186046513,0.17248062015503876,0.06782945736434108,0.1076923076923077,0.38461538461538464,0.18461538461538463,0.3230769230769231,0.45493934142114384,0.37608318890814557,0.11091854419410745,0.05805892547660312,0.0958904109589041,0.3424657534246575,0.1643835616438356,0.3972602739726027
