GEOID_Data,ag1,ag2,ag3,ag4,ag5,white_ag1,white_ag2,white_ag3,white_ag4,white_ag5,black_ag1,black_ag2,black_ag3,black_ag4,black_ag5,other_ag1,other_ag2,other_ag3,other_ag4,other_ag5,nhisp_white_ag1,nhisp_white_ag2,nhisp_white_ag3,nhisp_white_ag4,nhisp_white_ag5,hisp_ag1,hisp_ag2,hisp_ag3,hisp_ag4,hisp_ag5,nhisp_ag1,nhisp_ag2,nhisp_ag3,nhisp_ag4,nhisp_ag5
14000US17031070700,0.21700573813249868,0.04225352112676056,0.48330725091288473,0.17553468961919666,0.08189880020865936,0.2489402697495183,0.023892100192678227,0.48786127167630056,0.18497109826589594,0.05433526011560694,0.0,0.2136986301369863,0.5013698630136987,0.20821917808219179,0.07671232876712329,0.2128146453089245,0.02517162471395881,0.4622425629290618,0.13386727688787187,0.16590389016018306,0.2600341588385995,0.020922288642186166,0.48633646456020496,0.18573868488471393,0.04696840307429547,0.18371212121212122,0.045454545454545456,0.3125,0.20075757575757575,0.25757575757575757,0.22232304900181488,0.041742286751361164,0.5105868118572293,0.17150635208711434,0.05384150030248034
14000US17031100400,0.2675489067894131,0.0405638665132336,0.18268124280782508,0.33429228998849253,0.17491369390103567,0.23568668774148227,0.03758342114506498,0.20512820512820512,0.3203371970495258,0.20126448893572182,0.0,0.0,1.0,0.0,0.0,0.41373801916932906,0.054313099041533544,0.07667731629392971,0.3993610223642173,0.05591054313099041,0.21365638766519823,0.03634361233480176,0.20851688693098386,0.3311306901615272,0.21035242290748898,0.5564102564102564,0.0641025641025641,0.041025641025641026,0.258974358974359,0.07948717948717948,0.23104342190537913,0.037589112119248216,0.20058327932598832,0.3438107582631238,0.18697342838626052
14000US17031100600,0.24386412723345768,0.06931081877086197,0.27645788336933047,0.2782250147260946,0.13214215590025524,0.21656224461999454,0.05747752655952057,0.2860256061018796,0.28221193135385453,0.15772269136475076,1.0,0.0,0.0,0.0,0.0,0.29347826086956524,0.10289855072463767,0.2594202898550725,0.27608695652173915,0.06811594202898551,0.22162344223644326,0.04311215897608622,0.2694509936005389,0.2930279555405861,0.17278544964634557,0.2899002493765586,0.13591022443890274,0.3011221945137157,0.2238154613466334,0.049251870324189526,0.2226999140154772,0.03869303525365434,0.26511894525652047,0.30323875035826886,0.1702493551160791
14000US17031100700,0.21820494186046513,0.059593023255813955,0.2598110465116279,0.2623546511627907,0.20003633720930233,0.1894876325088339,0.04063604240282685,0.28909010600706714,0.25574204946996465,0.2250441696113074,0.5079365079365079,0.0,0.49206349206349204,0.0,0.0,0.34063526834611174,0.15772179627601315,0.09857612267250822,0.3132530120481928,0.08981380065717415,0.19638768761129483,0.03917578224370389,0.29483591961332994,0.26278300686848133,0.20681760366319002,0.18149882903981265,0.11826697892271663,0.1756440281030445,0.2728337236533958,0.25175644028103045,0.22494623655913978,0.04881720430107527,0.2752688172043011,0.2604301075268817,0.19053763440860216
14000US17031110200,0.17990899544977249,0.04830241512075604,0.280014000700035,0.29296464823241164,0.19880994049702486,0.1765492643780651,0.03611234953187695,0.29335711101203743,0.25278644672313866,0.24119482835488185,0.24766355140186916,0.0,0.20093457943925233,0.5514018691588785,0.0,0.1625,0.1425,0.2475,0.38,0.0675,0.15041322314049588,0.019834710743801654,0.2611570247933884,0.2887052341597796,0.2798898071625344,0.19236209335219237,0.14427157001414428,0.355021216407355,0.2446958981612447,0.06364922206506365,0.1758139534883721,0.01674418604651163,0.25534883720930235,0.30883720930232555,0.24325581395348836
14000US17031220701,0.18084415584415584,0.13603896103896104,0.42597402597402595,0.20162337662337662,0.05551948051948052,0.2118147951037786,0.13251729643427354,0.42895156998403405,0.15327301756253325,0.07344332091538053,0.5029585798816568,0.15976331360946747,0.22485207100591717,0.11242603550295859,0.0,0.07170542635658915,0.1385658914728682,0.45348837209302323,0.30426356589147285,0.03197674418604651,0.1565126050420168,0.20063025210084034,0.48634453781512604,0.06512605042016807,0.09138655462184873,0.1935151827071539,0.10602161605764282,0.3793103448275862,0.27792074112197634,0.04323211528564076,0.15919085312225154,0.18733509234828497,0.5057167985927881,0.0712401055408971,0.07651715039577836
14000US17031063302,0.09526184538653366,0.07955112219451371,0.556857855361596,0.16184538653366584,0.10648379052369077,0.1056581986143187,0.0848729792147806,0.49884526558891457,0.18735565819861433,0.12326789838337182,0.0,0.0,1.0,0.0,0.0,0.03764705882352941,0.058823529411764705,0.9035294117647059,0.0,0.0,0.11114485271788642,0.0841178256908594,0.48193136957181903,0.1970847251746128,0.12572122684482234,0.0,0.08292682926829269,0.8536585365853658,0.0,0.06341463414634146,0.10039421813403417,0.07936925098554533,0.5408672798948752,0.17056504599211564,0.1088042049934297
14000US17031252201,0.16304347826086957,0.06920289855072463,0.23079710144927537,0.32717391304347826,0.20978260869565218,0.0,0.0425531914893617,0.04964539007092199,0.3900709219858156,0.5177304964539007,0.17723513194170934,0.0677432059866089,0.24537219377707759,0.3123276880661678,0.19732178022843638,0.0,0.1625,0.0875,0.6875,0.0625,0.0,0.04477611940298507,0.05223880597014925,0.41044776119402987,0.4925373134328358,0.0,0.0,0.06796116504854369,0.7281553398058253,0.20388349514563106,0.16936394429808055,0.07188558524651863,0.23710952201731275,0.3116296575084682,0.21001129092961987
14000US17031660302,0.2168103448275862,0.125,0.3163793103448276,0.17198275862068965,0.16982758620689656,0.2669296515450362,0.11505588428665352,0.3517422748191979,0.13609467455621302,0.1301775147928994,0.07272727272727272,0.1534090909090909,0.25113636363636366,0.2840909090909091,0.23863636363636365,0.2393925859758821,0.1205895489057615,0.31799910674408216,0.15230013398838768,0.16971862438588656,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.25153538050734314,0.11882510013351134,0.332977303070761,0.14365821094793058,0.15300400534045394,0.07150837988826815,0.15083798882681565,0.24692737430167597,0.2905027932960894,0.24022346368715083
14000US17031660301,0.3320610687022901,0.10687022900763359,0.19720101781170485,0.17302798982188294,0.19083969465648856,0.186,0.058,0.256,0.126,0.374,0.5426356589147286,0.11046511627906977,0.15503875968992248,0.08914728682170543,0.10271317829457365,0.26798561151079137,0.1474820143884892,0.18345323741007194,0.2931654676258993,0.1079136690647482,0.0,0.13157894736842105,0.3684210526315789,0.23684210526315788,0.2631578947368421,0.23772102161100198,0.10412573673870335,0.21218074656188604,0.2131630648330059,0.23280943025540274,0.5054151624548736,0.11191335740072202,0.16967509025270758,0.09927797833935018,0.11371841155234658
